CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA
15;CH;70539;A;30;0;;301.946;0.00146;0.20988;Amarelo;118;
155;MT;70540;C;19;0;;296.462;3.137;0.14003;Amarelo;129;
156;MT;70540;C;19;0;;296.462;3.137;0.14003;Azul;131;
164;MT;70540;C;19;0;;296.462;3.137;0.14003;Rosa;132;
150;MT;75795;A;23;0;;191.763;220.242;0.17835;Cinza;130;
172;MT;70563;C;6;0;;160.162;0.26671;0.2498;Azul;131;
176;MT;70563;C;6;0;;160.162;0.26671;0.2498;Rosa;132;
151;MT;72821;D;8;0;;156.479;183.743;0.12533;Cinza;130;
175;MT;70563;C;6;0;;160.162;0.26671;0.2498;Amarelo;129;
55;CN;75610;E;11;0;;208.059;155.768;0.06116;Branco;123;
99;LC;70588;D;4;0;;33.385;-0.11571;0.20802;Rosa;128;
99;LC;70588;D;4;0;;33.385;-0.11571;0.20802;Amarelo;125;
95;LC;75960;C;8;0;;322.655;0.26588;0.24916;Cinza;126;1
103;LC;70588;D;4;0;;33.385;-0.11571;0.20802;Azul;127;
56;CN;70278;C;17;0;;161.308;129.865;0.2812;Branco;123;
81;CN;70614;D;24;0;;194.916;162.683;0.11518;Azul;121;
80;CN;70614;D;24;0;;194.916;162.683;0.11518;Rosa;124;
77;CN;70614;D;24;0;;194.916;162.683;0.11518;Amarelo;122;
56;CN;71206;A;5;0;;184.256;134.836;0.16804;Branco;133;
87;CN;70617;B;16;0;;1.54;0.69393;0.10243;Rosa;124;
57;CN;72572;A;8;0;;128.549;177.284;0.18055;Branco;133;
87;CN;70617;B;16;0;;1.54;0.69393;0.10243;Amarelo;122;
87;CN;70617;B;16;0;;1.54;0.69393;0.10243;Azul;121;
57;CN;75618;B;25;0;;206.293;223.506;0.29941;Branco;123;
83;CN;70637;D;14;0;;121.656;-110.221;0.01582;Amarelo;122;
83;CN;70637;D;14;0;;121.656;-110.221;0.01582;Rosa;124;
82;CN;70637;D;14;0;;121.656;-110.221;0.01582;Azul;121;
117;LC;70640;C;19;0;;106.496;0.64328;0.11311;Cinza;135;
58;CN;70070;E;24;0;;194.387;106.139;0.36596;Branco;123;
58;CN;72158;C;1;0;;243.323;101.693;0.19322;Branco;133;
144;MT;70698;E;7;0;;140.069;232.577;0.10823;Amarelo;129;
144;MT;70698;E;7;0;;140.069;232.577;0.10823;Azul;131;
148;MT;70698;E;7;0;;140.069;232.577;0.10823;Rosa;132;
152;MT;75890;E;18;0;;21.861;0.61239;0.13381;Cinza;130;
105;LC;70705;D;17;0;;110.711;0.48494;0.08252;Cinza;135;
149;MT;70709;E;1;0;;279.701;152.744;0.13112;Cinza;136;
110;LC;70720;C;13;0;;128.199;159.592;0.21513;Cinza;135;
81;CN;70728;D;12;0;;0.93948;272.363;0.16041;Rosa;124;
78;CN;70728;D;12;0;;0.93948;272.363;0.16041;Amarelo;122;
59;CN;70820;C;15;0;;228.412;140.218;0.12359;Branco;123;
80;CN;70728;D;12;0;;0.93948;272.363;0.16041;Azul;121;
59;CN;72283;C;1;0;;109.066;246.768;0.20776;Branco;133;
153;MT;72056;C;27;0;;229.585;0.9001;0.15579;Cinza;130;
176;MT;70734;C;20;0;;141.344;0.04783;0.13377;Amarelo;129;
177;MT;70734;C;20;0;;141.344;0.04783;0.13377;Rosa;132;
173;MT;70734;C;20;0;;141.344;0.04783;0.13377;Azul;131;
60;CN;71953;B;9;0;;279.887;191.559;0.11365;Branco;123;
177;MT;70745;C;19;0;;274.436;1.698;0.2011;Amarelo;129;
172;MT;70745;C;19;0;;274.436;1.698;0.2011;Rosa;132;
154;MT;70423;E;15;0;;142.032;0.78256;0.16611;Cinza;130;
178;MT;70745;C;19;0;;274.436;1.698;0.2011;Azul;131;
148;MT;70761;A;3;0;;232.706;103.615;0.17235;Cinza;136;
48;CN;70762;E;14;0;;358.475;0.63064;0.1944;Azul;121;
49;CN;70762;E;14;0;;358.475;0.63064;0.1944;Amarelo;122;
60;CN;75535;B;9;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Branco;133;
47;CN;70762;E;14;0;;358.475;0.63064;0.1944;Rosa;124;
